Price,SqFt
114300,1790
114200,2030
114800,1740
94700,1980
119800,2130
114600,1780
151600,1830
150700,2160
119200,2110
104000,1730
132500,2030
123000,1870
102600,1910
126300,2150
176800,2590
145800,1780
147100,2190
83600,1990
111400,1700
167200,1920
116200,1790
113800,2000
91700,1690
106100,1820
156400,2210
149300,2290
137000,2000
99300,1700
69100,1600
188000,2040
182000,2250
112300,1930
135000,2250
139600,2280
117800,2000
117100,2080
117500,1880
147000,2420
131300,1720
108200,1740
106600,1560
133600,1840
105600,1990
154000,1920
166500,1940
103200,1810
129800,1990
90300,2050
115900,1980
107500,1700
151100,2100
91100,1860
117400,2150
130800,2100
81300,1650
125700,1720
140900,2190
152300,2240
138100,1840
155400,2090
180900,2200
100900,1610
161300,2220
120500,1910
130300,1860
111100,1450
126200,2210
151900,2040
93600,2140
165600,2080
166700,1950
157600,2160
107300,1650
125700,2040
144200,2140
106900,1900
129800,1930
176500,2280
121300,2130
143600,1780
143400,2190
184300,2140
164800,2050
147700,2410
90500,1520
188300,2250
102700,1900
172500,1880
127700,1930
97800,2010
143100,1920
116500,2150
142600,2110
157100,2080
160600,2150
152500,1970
133300,2440
126800,2000
145500,2060
171000,2080
103200,2010
123100,2260
136800,2410
211200,2440
82300,1910
146900,2530
108500,2130
134000,1890
117000,1990
108700,2110
111600,1710
114900,1740
123600,1940
115700,2000
124500,2010
102500,1900
199500,2290
117800,1920
150200,1950
109700,1920
110400,1930
105600,1930
144800,2060
119700,1900
147900,2160
113500,2070
149900,2020
124600,2250